genre,track,song name,artists,lyrics
blues,blues.00000.wav,"One Bourbon, One Scotch And One Beer",John Lee Hooker,"One bourbon, one scotch, and one beer
I say hey mister bartender come here
I want another drink and I want it now
My baby she gone, she been gone two night
I ain't seen my baby since night before last
I wanna get drunk and get her outta my mind
I want one bourbon, one scotch, and one beer
And then I sit down, drinkin', gettin' high, mellow, groving
I was getting stoned, and after a while
I looked on the wall, at the old clock on the wall
By that time, it was eleven thirty
Gettin' a little late
I looked down the bar, at the bartender, I say hey
What do you want
One bourbon, one scotch, and one beer
Well my baby she gone, she been gone two night
I ain't seen my baby since night before last
I wanna get drunk till I'm off of my mind
One bourbon, one scotch, and one beer
And I sat there again,
I was drinkin, ' gettin', stoned
And doopin', doopin'
Getting busy with the hand
And after a while
I looked on the wall again
And by that time, last call for alchohol
Then I looked down at the bar, at the bartender
I said hey mister bartender, what do you want this time
One bourbon, one scotch, and one beer"
blues,blues.00001.wav,I'm In The Mood For Love,John Lee Hooker,"I'm in the mood, I'm in the mood for love
In the town I see you, baby
Walking down the street
You know I get a thrill
Now baby, pull my head down through my toes
I'm in the mood
I'm in the mood, I'm in the mood for love
Nighttime is the right time, to be with the one you love
You know when night come baby, God know, you're so far away
I'm in the mood
I'm in the mood, I'm in the mood for love
I'm in the mood baby, yes I'm in the mood
If I can't be with you baby, I won't
Be with nobody ever
I can't get my feel now baby, nothing of being with you
I'm in the mood
I'm in the mood, I'm in the mood for love
I'm in the mood baby, yes I'm in the mood
Yes my mama told me to leave that girl alone
But my mama didn't know, God know, girl was puttin' down
I'm in the mood
I'm in the mood, I'm in the mood for love
I'm in the mood, I'm in the mood, baby, I'm in the mood"
blues,blues.00002.wav,Think Twice Before You Go,John Lee Hooker,"Think twice before you go, baby, this will be the end
Think twice before you go, baby, this will be the end
You done leave me one time, baby you'll leave me again
Dig in and suffer with me, then I know you paid your dues
Dig in and suffer with me baby, then I know you paid your dues
You done leave me when I need you, then I know you stand accused"
blues,blues.00003.wav,I'm Bad Like Jesse James,John Lee Hooker,"Little thing I'm going to do
Called ""I'm Bad Like Jesse James""
I'm bad
I'm bad
Like Jesse James, uh-huh
I had a friend one time
Least I thought I did
He come to me
Said, ""Johnny""
Said, ""What man?""
""I'm outdoor""
I say, ""Yeah?""
I taken the cat in
Get him a place to stay
And I found out
He goin' 'round town
Tellin' ever'body that he
He got my wife
Then I gets mad, I goes to the cat
Like a good guy should
I said, ""Look, man
I'm gonna warn, you just one time
Next time I warn you
I might use my gun"""
blues,blues.00004.wav,Walkin' the Boogie,John Lee Hooker,"Well my mama she didn't 'low me, just to stay out all night long, oh Lord
Well my mama didn't 'low me, just to stay out all night long
I didn't care what she didn't 'low, I would
Boogie-woogie
Anyhow
When I first came to town people, I was walkin' down Hastings Street
Everybody was talkin' about, the Henry Swing Club
I decided I drop in there that night
When I got there, I say, ""Yes, people""
They was really havin' a ball!
Yes, I know
Boogie Chillun
One night I was layin' down
I heard mama 'n papa talkin'
I heard papa tell mama, let that boy boogie-woogie
It's in him, and it got to come out
And I felt so good
Went on boogie'n just the same"
blues,blues.00005.wav,Sugar Mama,John Lee Hooker,"Sugar mama, sugar mama, sugar mama please come back to me
Sugar mama, sugar mama, sugar mama please come back to me
Bring me my granulated sugar, sugar mama, sugar mama ease my misery
You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this granulated sugar, sugar mama, ain't nobody else got, but you
They been braggin' 'bout your sugar, sugar mama, been braggin' all over town
They been braggin' 'bout your sugar, sugar mama, braggin' all over town
Everywhere i go sugar mama, sugar mama you can hear your name
Read them crazy about you sugar mama
Because you ease my worried mind
Read them crazy about you sugar mama
Because you ease my worried mind
You got something something sugar mama
Ain't nobody else got but you
Now, the bootleggers want you to sell 'em enough to make whiskey
But you won't sell 'em about four or five pounds
I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
You what i meant about that sugar mama
I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
Don't get my sugar three times a day, oh, Lord
You don't mean you just can't get along right
Then I don't feel right"
blues,blues.00006.wav,Dreamin' Blues,John Lee Hooker,"My baby left me this morning
People just around four o'clock
My baby left me this morning
People just around four o'clock
She left me dreamin' dreamin'
People then I woke up crying
Me and my baby don't get along so well
We don't do a doggone thing but fuss and fight all
Most all the time, she left me to dream
People dream most all the time
Ever since my baby left me
I don't do a doggone thing but dream
Yes my nightmares are killing me now
You know I lay down dreamin'
People God knows that I wake up crying
Yes since my baby's been gone
People I just can't eat a bite
I'm gonna get up in the morning
Going down that lonesome road
I don't find my baby
People I won't be back no more"
blues,blues.00007.wav,Ground Hog Blues,John Lee Hooker,"It's a low-down dog, a dirty Groundhog that rootin' round my in back door
Yes if I catch him there rootin' there [man?], Lord, he won't root there no more
Yes he stand and he watch me, in the morning when I leave home
Yes he stand and he watch me, Lord, in the morning when I leave home
Then when I leave home in the morning, yes, he hangs around all day long
Give me some toads'n' frogs' hips
I'm gonna, gonna, put it all together
I'm gonna, gonna mix it up together
I'm gonna, gonna whup it all up good
I'm gonna, gonna kill that ol' dirty Groundhog
I bet'cha my bottom dollar then man, he, he won't root there no more
Na he ain't gonna root no more there
I said goodbye baby, Lord, I'm leavin' you now
I said goodbye baby, Lord, I'm leavin' you now
I done did what I want to done, killed that dirty ground hog"
blues,blues.00008.wav,Shake It Baby,John Lee Hooker,"Shake it baby
Shake it baby, one time for me
One time for me
Look baby, just smile
I don't care what your father say
I don't care what your mother say
As long as you love me, I love you
That's all that matters, baby
Shake it baby
Shake it baby
Shake it baby, for me, for me, one time
One time, for me
Come on here, come on here
Come on here, let go
You walk on the floor for me
Shake it baby, just for-, for me
Look baby
Waa-a-ah, shake it
Now baby, let's go
I don't care what your mother say
I don't care what your father say
As long as you love me, and I love you
Now come on, baby
One more time, just once more, one more
And one more, and one more!
And one more, and one more time!
And one more time, baby
Shake it baby
Shake it baby
Oh, yeah
Come on baby, just one more time
Look baby, look baby, just one more time
One more time baby
And one more, and one more!
And one more, and one more!
And one more time, baby!
And one more time, baby!
Shake it baby
Shake it baby
Shake it baby
Shake it baby
Shake it baby one more time
Alone baby
Alone baby
Alone baby
Alone baby
Alone baby"
blues,blues.00009.wav,It's My Own Fault,John Lee Hooker,"It's my own fault darlin', that you treat me the way you do
It's my own fault darlin', caused you treat me the way you do
When you left me darlin', I was callin' from town to town
Ooh, won't you give me one more chance
Ooh baby, won't you give me one more chance
Baby, I'll prove that I'm in love with you, you know I'll be travelin' no more
It's my own fault darlin', I made you treat me the way you do
It's my own fault darlin', I made you treat me the way you do
Baby I go alone, I just realized, all I did
Oh goodbye baby, I know we may never meet again
Oh goodbye baby, I know we may never meet again
But it's my own fault darlin', I made you treat me the way you did
See upcoming pop shows
Get tickets for your favorite artists
You might also like
Leave My Wife Alone
John Lee Hooker
Union Station Blues
John Lee Hooker
Boom Boom
John Lee Hooker"
