language,genre,lyrics,,Song Name,artist
en,Reggae,"Like to have you 'round  
With all the lies that you make  
The things or darkness and you  
Some people say, have just a taste  
Right or wrong, you might get burned  
What you gain is what you learn  
  
Got one too many women  
Don't know quite which way to go  
They're all gettin' so expensive  
When they walk by themselves  
Right or wrong, don't regret  
What you went for is what you get  
  
No point in bitter tears  
When someone else has cut you down  
'Cause there's a time for leavin'  
And there's a time for stickin' around, hey  
Right or wrong, you've got to live  
So what you collect is what you give

",,right or wrong,Wishbone Ash
en,Rock,"This Little Light of Mine (Light of Mine),  
I'm Let it shine (Aleilujah),  
This Little Light of Mine, I'm gonna let it shine,  
  
Down in my heart (In my heart),  
I'm gonna let it shine (Aleilujah)  
Down in my heart (In My heart)  
I'm gonna let it, let it shine.  
  
All over the world (All over the world),  
I'm gonna let it shine (Let it shine, let it shine let it shine)  
Let it shine, let it shine, let it shine, let it shine

",,this little light of mine,Aerosmith
en,Rock,"She says she's no good with words but I'm worse  
Barely stuttered out  
A joke of a romantic stuck to my tongue  
And weighed down with words too overdramatic  
Tonight it's ""it can't get much worse""  
Vs. ""no one should ever feel like..""  
  
I'm two quarters and a heart down  
And I don't want to forget how your voice sounds  
These words are all I have so I write them  
I need them just to get by  
  
Dance, dance  
We're falling apart to half time  
Dance, dance  
And these are the lives you love to lead  
Dance this is the way they'd look  
If they knew how misery loved me  
  
  
You always fold just before you're found out  
Drink up its last call  
Last resort  
But only the first mistake and I  
  
I'm two quarters and a heart down  
And I don't want to forget how your voice sounds  
These words are all I have so I write them  
I need them just to get by  
  
Why don't you show me a little bit of spine  
You've been saving for his mattress (love)  
  
Dance, dance  
We're falling apart to half time  
Dance, dance  
And these are the lives you love to lead  
Dance this is the way they'd look  
If they knew how misery loved me  
  
Why don't you show me a little bit of spine  
You've been saving for his mattress (with love)  
I only want sympathy in the form of you crawling into bed with me  
  
Dance, dance, we're falling apart to half time  
Dance, dance, and these are the lives you love to lead  
Dance this is the way they'd look  
If they knew how misery loved me

",,dance dance,Fall Out Boy
en,Rock,"Hey mama, mama, come a look at sister,  
She's a-standing on the levee trying to do that twist,  
But easy rider don't you deny my name,  
Oh no, oh no.  
Well, I got a girl with a diamond ring,  
I'll tell you, boys, she knows how to shake that thing.  
Oh! Easy rider don't you deny my name,  
Oh no, oh no.  
Play it!  
Well, I got a horse and he lives in a tree,  
He watches Huckleberry Hound on his tv.  
But easy rider don't you deny my name,  
Oh no, oh no.  
I would buy you a plastic suit  
And I would even buy you some cardboard fruit.  
Oh! But easy rider don't you deny my name,  
Oh no, oh no.  
Yeah, easy rider, don't you deny my name, pretty baby doll  
I said, easy rider, don't you deny my name, pretty baby doll  
I said, easy rider, don't you deny my name, pretty baby doll  
I said, easy rider, don't you deny my name, pretty baby...

",,easy rider,Janis Joplin
en,Rock,"I see it all through my window it seems.  
Never failing, like millions of eels.  
All that is wrong,  
No time to be won.  
Only to do  
What can be done.  
Peak hour,  
Peak hour,  
Peak hour.  
Minds are subject to what should be done.  
Problem solved, time cannot be won.  
One hour a day,  
One hour a night  
Sees crowds of people  
Home-aimed for flight.  
Peak hour,  
Peak hour,  
Peak hour.  
It makes me want to run out and tell them  
They've got time.  
Take a step back out and warn them  
I've found out I've got time.  
Minds are subject to what should be done.  
Problem solved, time cannot be won.  
One hour a day,  
One hour a night  
Sees crowds of people  
Home-aimed for flight.  
Peak hour,  
Peak hour,  
Peak hour.

",,peak hour,Moody Blues
en,Electronic,"The more I take a look inside, the more I'm fried  
The more I understand the ride, the more I slide  
The more you put me back in line, the more I tried  
The more you looked into my eyes, the more you lied  
I come back crazier, but feel much better  
You come back crazier, you'll feel better  
The more I disregard the signs, the more I fly  
The more I walk across the lines, the more I glide  
You come back crazier, but feel much better  
You come back crazier, you'll feel better  
You come back crazier, but feel much better  
You come back crazier, you'll feel better  
  

",,crazier,Gary Numan
en,Rock,"We got it all but it ain't enough  
No, we're never ever happy with what we got  
I see that look on your face, you know I've seen that look before  
Don't you be fooled baby, you gonna show  
It's just Temptation, Whoa... Temptation  
Temptation Whoa... Must be Temptation  
  
Too far to fall but we always do  
Though we swore in our hearts to be true  
You say that hand that your holdin' feels a little cold sometime  
Baby sooner or later, you're gonna find that true love..  
  
Is just like Temptation, Whoa... Temptation  
Temptation Whoa... Feels like Temptation  
Now listen here... Whoa... Temptation  
Whoa... Temptation Whoa....  
  
We want it all and we want it fast  
No time to think, no time to ask  
But you know that road that we're on don't always lead to happiness  
You can count on it baby  
It's a pretty good guess now all we got  
  
Is just Temptation, Whoa... Temptation  
Temptation Whoa... Feels like Temptation  
Temptation Whoa... Looks like Temptation  
Temptation -- Must be Temptation Yeah

",,temptation,Pat Benatar
en,Rock,"Kiss me at midnight  
5...4...3...2...1  
Kiss me at midnight  
Dance into the morning light  
Party into the new year  
All of my friends are here and when the time is right  
Kiss me at midnight (kiss)  
  
I've been waiting for this special night  
To be with you  
The colors of Christmas are still shining bright  
And I know what we're gonna do  
  
Anticipating  
Music is playing  
The magic is in the air  
All through the season  
You've been the reason  
I have so much love to share  
  
Kiss me at midnight  
Dance into the morning light  
Party into the new year  
All of my friends are here and when the time is right  
Kiss me at midnight (kiss)  
  
We've been making promises in the dark  
Our resolutions  
As a brand new year is about to start  
And we're together  
Celebrating  
No more waiting  
Our time has arrived  
Feel the beat of my heart  
As the countdown starts  
Just look into my eyes  
  
Kiss me at midnight  
Dance into the morning light  
Party into the new year  
All of my friends are here and when the time is right  
Kiss me at midnight (kiss)  
  
Baby it's New Years Eve  
A time we can believe  
In making wishes  
Dreams come true  
Just for me and you  
  
Kiss me at midnight  
Dance into the morning light  
Party into the new year  
All of my friends are here and when the time is right  
Kiss me at midnight (kiss)  
Kiss me at midnight  
Dance into the morning light  
Party into the new year  
All of my friends are here and when the time is right  
Kiss me at midnight (kiss)

",,kiss me at midnight,n Sync
en,Pop,"I'm being dragged down, down by the hand  
The hand of a golden giant man  
He's crushing my knuckles  
Splitting my skin, he says he will  
If only I'd ask it of him  
  
He says  
Girl, it's your call  
You wanna fly  
You wanna fall  
So I shout  
I wanna get away from you  
As fast as I can  
I tell my feet to move it  
I hope they have a plan  
  
[Chorus]  
These little black sandals  
Are walking me away  
These little black sandals  
Are heading the right way  
These little black sandals  
Are walking me away  
These little black sandals  
Saved my life today  
  
So now I'm free  
Free  
From the big bad giant  
  
Who was stalking me  
Thank you feet, for guiding me  
I'm glad somehow I got brains down there, at least  
  
[Chorus]  
  
Sometimes I'm tempted  
Sometimes I am  
I would be lying if I said I didn't miss that giant man  
He was the line between pleasure and pain  
But me and the feet have some years to reclaim  
  
[Chorus]

",,little black sandals,Sia
en,Country,"In my dreams an old friend came to see you  
Right from the start he was the stealing kind  
You'll never know how much it hurt me darling  
The night you left his loving on your mind  
I keep dreaming of you all the time  
Then and only then you're really mine  
There's sadness when you go away and I face another day  
Yet I keep dreaming of you all the time  
[ fiddle ]  
Last night again I dreamed we were together  
I held you close the way I used to do  
I kissed your lips and said I found my heaven  
You whispered low how much you love me too  
I keep dreaming of you...  
  
  

",,i keep dreaming of you all the time,Hank Snow
